Date,Time,ms,LEVEL,TEMPERATURE,DateTime
2024-06-18,08:00:00 am,0,100.859,25.08,2024-06-18 08:00:00
2024-06-18,08:15:00 am,0,100.849,25.109,2024-06-18 08:15:00
2024-06-18,08:30:00 am,0,100.872,25.124,2024-06-18 08:30:00
2024-06-18,08:45:00 am,0,100.971,25.141,2024-06-18 08:45:00
2024-06-18,09:00:00 am,0,103.682,23.085,2024-06-18 09:00:00
2024-06-18,09:15:00 am,0,103.698,22.451,2024-06-18 09:15:00
2024-06-18,09:30:00 am,0,103.707,22.424,2024-06-18 09:30:00
2024-06-18,09:45:00 am,0,103.71,22.426,2024-06-18 09:45:00
2024-06-18,10:00:00 am,0,103.715,22.442,2024-06-18 10:00:00
2024-06-18,10:15:00 am,0,103.717,22.467,2024-06-18 10:15:00
2024-06-18,10:30:00 am,0,103.721,22.493,2024-06-18 10:30:00
2024-06-18,10:45:00 am,0,103.718,22.537,2024-06-18 10:45:00
2024-06-18,11:00:00 am,0,103.716,22.57,2024-06-18 11:00:00
2024-06-18,11:15:00 am,0,103.718,22.611,2024-06-18 11:15:00
2024-06-18,11:30:00 am,0,103.721,22.673,2024-06-18 11:30:00
2024-06-18,11:45:00 am,0,103.72,22.725,2024-06-18 11:45:00
2024-06-18,12:00:00 pm,0,103.727,22.773,2024-06-18 12:00:00
2024-06-18,12:15:00 pm,0,103.735,22.838,2024-06-18 12:15:00
2024-06-18,12:30:00 pm,0,103.736,22.908,2024-06-18 12:30:00
2024-06-18,12:45:00 pm,0,103.72,23.01,2024-06-18 12:45:00
2024-06-18,01:00:00 pm,0,103.726,23.115,2024-06-18 01:00:00
2024-06-18,01:15:00 pm,0,103.7,23.207,2024-06-18 01:15:00
2024-06-18,01:30:00 pm,0,103.694,23.313,2024-06-18 01:30:00
2024-06-18,01:45:00 pm,0,103.682,23.414,2024-06-18 01:45:00
2024-06-18,02:00:00 pm,0,103.678,23.493,2024-06-18 02:00:00
2024-06-18,02:15:00 pm,0,103.672,23.543,2024-06-18 02:15:00
2024-06-18,02:30:00 pm,0,103.66,23.589,2024-06-18 02:30:00
2024-06-18,02:45:00 pm,0,103.655,23.627,2024-06-18 02:45:00
2024-06-18,03:00:00 pm,0,103.632,23.683,2024-06-18 03:00:00
2024-06-18,03:15:00 pm,0,103.619,23.754,2024-06-18 03:15:00
2024-06-18,03:30:00 pm,0,103.61,23.819,2024-06-18 03:30:00
2024-06-18,03:45:00 pm,0,103.6,23.874,2024-06-18 03:45:00
2024-06-18,04:00:00 pm,0,103.59,23.922,2024-06-18 04:00:00
2024-06-18,04:15:00 pm,0,103.572,23.961,2024-06-18 04:15:00
2024-06-18,04:30:00 pm,0,103.556,24,2024-06-18 04:30:00
2024-06-18,04:45:00 pm,0,103.546,24.044,2024-06-18 04:45:00
2024-06-18,05:00:00 pm,0,103.54,24.092,2024-06-18 05:00:00
2024-06-18,05:15:00 pm,0,103.53,24.137,2024-06-18 05:15:00
2024-06-18,05:30:00 pm,0,103.521,24.174,2024-06-18 05:30:00
2024-06-18,05:45:00 pm,0,103.51,24.206,2024-06-18 05:45:00
2024-06-18,06:00:00 pm,0,103.509,24.237,2024-06-18 06:00:00
2024-06-18,06:15:00 pm,0,103.507,24.262,2024-06-18 06:15:00
2024-06-18,06:30:00 pm,0,103.513,24.29,2024-06-18 06:30:00
