Date,Time,ms,LEVEL,TEMPERATURE,DateTime
2024-06-18,08:00:00 am,0,100.851,25.075,2024-06-18 08:00:00
2024-06-18,08:15:00 am,0,100.844,25.232,2024-06-18 08:15:00
2024-06-18,08:30:00 am,0,100.869,25.321,2024-06-18 08:30:00
2024-06-18,08:45:00 am,0,100.97,25.402,2024-06-18 08:45:00
2024-06-18,09:00:00 am,0,100.966,25.446,2024-06-18 09:00:00
2024-06-18,09:15:00 am,0,100.952,25.557,2024-06-18 09:15:00
2024-06-18,09:30:00 am,0,100.955,25.688,2024-06-18 09:30:00
2024-06-18,09:45:00 am,0,100.892,25.663,2024-06-18 09:45:00
2024-06-18,10:00:00 am,0,102.058,22.802,2024-06-18 10:00:00
2024-06-18,10:15:00 am,0,102.05,22.339,2024-06-18 10:15:00
2024-06-18,10:30:00 am,0,102.06,22.335,2024-06-18 10:30:00
2024-06-18,10:45:00 am,0,102.074,22.396,2024-06-18 10:45:00
2024-06-18,11:00:00 am,0,102.081,22.448,2024-06-18 11:00:00
2024-06-18,11:15:00 am,0,102.081,22.504,2024-06-18 11:15:00
2024-06-18,11:30:00 am,0,102.084,22.567,2024-06-18 11:30:00
2024-06-18,11:45:00 am,0,102.089,22.619,2024-06-18 11:45:00
2024-06-18,12:00:00 pm,0,102.096,22.696,2024-06-18 12:00:00
2024-06-18,12:15:00 pm,0,102.103,22.759,2024-06-18 12:15:00
2024-06-18,12:30:00 pm,0,102.098,22.853,2024-06-18 12:30:00
2024-06-18,12:45:00 pm,0,102.093,22.982,2024-06-18 12:45:00
2024-06-18,01:00:00 pm,0,102.096,23.04,2024-06-18 01:00:00
2024-06-18,01:15:00 pm,0,102.077,23.107,2024-06-18 01:15:00
2024-06-18,01:30:00 pm,0,102.078,23.204,2024-06-18 01:30:00
2024-06-18,01:45:00 pm,0,102.067,23.299,2024-06-18 01:45:00
2024-06-18,02:00:00 pm,0,102.062,23.337,2024-06-18 02:00:00
2024-06-18,02:15:00 pm,0,102.047,23.278,2024-06-18 02:15:00
2024-06-18,02:30:00 pm,0,102.035,23.235,2024-06-18 02:30:00
2024-06-18,02:45:00 pm,0,102.019,23.189,2024-06-18 02:45:00
2024-06-18,03:00:00 pm,0,102.015,23.185,2024-06-18 03:00:00
2024-06-18,03:15:00 pm,0,102.016,23.219,2024-06-18 03:15:00
2024-06-18,03:30:00 pm,0,102.018,23.248,2024-06-18 03:30:00
2024-06-18,03:45:00 pm,0,102.013,23.244,2024-06-18 03:45:00
2024-06-18,04:00:00 pm,0,101.994,23.237,2024-06-18 04:00:00
2024-06-18,04:15:00 pm,0,101.975,23.217,2024-06-18 04:15:00
2024-06-18,04:30:00 pm,0,101.969,23.203,2024-06-18 04:30:00
2024-06-18,04:45:00 pm,0,101.959,23.182,2024-06-18 04:45:00
2024-06-18,05:00:00 pm,0,101.95,23.164,2024-06-18 05:00:00
2024-06-18,05:15:00 pm,0,101.941,23.138,2024-06-18 05:15:00
2024-06-18,05:30:00 pm,0,101.934,23.118,2024-06-18 05:30:00
2024-06-18,05:45:00 pm,0,101.923,23.092,2024-06-18 05:45:00
2024-06-18,06:00:00 pm,0,101.918,23.076,2024-06-18 06:00:00
2024-06-18,06:15:00 pm,0,101.914,23.049,2024-06-18 06:15:00
2024-06-18,06:30:00 pm,0,101.919,23.038,2024-06-18 06:30:00
